name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalAssets,"165,987,000,000","159,316,000,000","133,376,000,000","97,334,000,000","84,524,000,000","64,961,000,000","49,407,000,000","40,184,000,000","17,895,000,000","15,103,000,000","6,331,000,000","2,990,000,000"
	CurrentAssets,"66,666,000,000","75,670,000,000","66,225,000,000","50,480,000,000","48,563,000,000","34,401,000,000","21,652,000,000","13,670,000,000","13,070,000,000","11,267,000,000","4,604,000,000","2,246,000,000"
		CashCashEquivalentsAndShortTermInvestments,"47,998,000,000","61,954,000,000","54,855,000,000","41,114,000,000","41,711,000,000","29,449,000,000","18,434,000,000","11,199,000,000","11,449,000,000","9,626,000,000","3,908,000,000","1,785,000,000"
			CashAndCashEquivalents,"16,601,000,000","17,576,000,000","19,079,000,000","10,019,000,000","8,079,000,000","8,903,000,000","4,907,000,000","4,315,000,000","3,323,000,000","2,384,000,000","1,512,000,000","1,785,000,000"
				CashFinancial,"7,308,000,000","6,488,000,000","4,735,000,000","2,713,000,000","2,212,000,000","1,364,000,000","1,703,000,000","2,162,000,000","1,044,000,000","1,513,000,000",,
				CashEquivalents,"9,293,000,000","11,088,000,000","14,344,000,000","7,306,000,000","5,867,000,000","7,539,000,000","3,204,000,000","2,153,000,000","2,279,000,000","871,000,000",,
			OtherShortTermInvestments,"31,397,000,000","44,378,000,000","35,776,000,000","31,095,000,000","33,632,000,000","20,546,000,000","13,527,000,000","6,884,000,000","8,126,000,000","7,242,000,000","2,396,000,000",0
		Receivables,"14,039,000,000","11,335,000,000","9,518,000,000","7,587,000,000","5,832,000,000","3,993,000,000","2,559,000,000","1,678,000,000","1,160,000,000","1,170,000,000","547,000,000","373,000,000"
			AccountsReceivable,"14,039,000,000","11,335,000,000","9,518,000,000","7,587,000,000","5,832,000,000","3,993,000,000","2,559,000,000","1,678,000,000","1,109,000,000","719,000,000","547,000,000","373,000,000"
				GrossAccountsReceivable,,"11,449,000,000","9,724,000,000","7,816,000,000","6,021,000,000","4,087,000,000","2,627,000,000","1,717,000,000","1,147,000,000","741,000,000","564,000,000","384,000,000"
