name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalRevenue,"119,666,000,000","117,929,000,000","85,965,000,000","70,697,000,000","55,838,000,000","40,653,000,000","27,638,000,000","17,928,000,000","12,466,000,000","7,872,000,000","5,089,000,000","3,711,000,000","1,974,000,000"
	OperatingRevenue,"119,649,000,000","117,929,000,000","84,169,000,000","69,655,000,000","55,013,000,000","39,942,000,000","26,885,000,000","17,079,000,000","11,492,000,000","6,986,000,000","4,279,000,000","3,711,000,000","1,868,000,000"
CostOfRevenue,"23,523,000,000","22,649,000,000","16,692,000,000","12,770,000,000","9,355,000,000","5,454,000,000","3,789,000,000","2,867,000,000","2,153,000,000","1,875,000,000","1,364,000,000","860,000,000","493,000,000"
GrossProfit,"96,143,000,000","95,280,000,000","69,273,000,000","57,927,000,000","46,483,000,000","35,199,000,000","23,849,000,000","15,061,000,000","10,313,000,000","5,997,000,000","3,725,000,000","2,851,000,000","1,481,000,000"
OperatingExpense,"52,244,000,000","48,527,000,000","36,602,000,000","33,941,000,000","21,570,000,000","14,996,000,000","11,422,000,000","8,836,000,000","5,319,000,000","3,193,000,000","3,187,000,000","1,095,000,000","449,000,000"
	SellingGeneralAndAdministration,"25,079,000,000","23,872,000,000","18,155,000,000","20,341,000,000","11,297,000,000","7,242,000,000","5,503,000,000","4,020,000,000","2,653,000,000","1,778,000,000","1,788,000,000","707,000,000","305,000,000"
		GeneralAndAdministrativeExpense,"10,567,000,000","9,829,000,000","6,564,000,000","10,465,000,000","3,451,000,000","2,517,000,000","1,731,000,000","1,295,000,000","973,000,000","781,000,000","892,000,000","280,000,000","138,000,000"
			OtherGandA,"10,567,000,000","9,829,000,000","6,564,000,000","10,465,000,000","3,451,000,000","2,517,000,000","1,731,000,000","1,295,000,000","973,000,000","781,000,000","892,000,000","280,000,000","138,000,000"
		SellingAndMarketingExpense,"14,512,000,000","14,043,000,000","11,591,000,000","9,876,000,000","7,846,000,000","4,725,000,000","3,772,000,000","2,725,000,000","1,680,000,000","997,000,000","896,000,000","427,000,000","167,000,000"
	ResearchAndDevelopment,"27,165,000,000","24,655,000,000","18,447,000,000","13,600,000,000","10,273,000,000","7,754,000,000","5,919,000,000","4,816,000,000","2,666,000,000","1,415,000,000","1,399,000,000","388,000,000","144,000,000"
OperatingIncome,"43,899,000,000","46,753,000,000","32,671,000,000","23,986,000,000","24,913,000,000","20,203,000,000","12,427,000,000","6,225,000,000","4,994,000,000","2,804,000,000","538,000,000","1,756,000,000","1,032,000,000"
NetNonOperatingInterestIncomeExpense,"419,000,000","461,000,000","672,000,000","904,000,000","652,000,000","392,000,000","166,000,000","29,000,000","4,000,000","-37,000,000","-37,000,000","-42,000,000","-21,000,000"
	InterestIncomeNonOperating,"419,000,000","461,000,000","672,000,000","924,000,000","661,000,000","398,000,000","176,000,000","52,000,000","27,000,000","19,000,000","14,000,000",,"1,000,000"
	InterestExpenseNonOperating,,,,"20,000,000","9,000,000","6,000,000","10,000,000","23,000,000","23,000,000","56,000,000","51,000,000","42,000,000","22,000,000"
	TotalOtherFinanceCost,,,"-509,000,000","-826,000,000","-448,000,000","-391,000,000","-91,000,000","31,000,000","84,000,000",,,,
OtherIncomeExpense,"371,000,000","70,000,000","-163,000,000","-78,000,000","-204,000,000","-1,000,000","-75,000,000","-60,000,000","-88,000,000","-13,000,000","-7,000,000","-19,000,000","-3,000,000"
	GainOnSaleOfSecurity,"7,000,000","-140,000,000","-129,000,000","-105,000,000","-213,000,000","-6,000,000","-76,000,000","-66,000,000","-87,000,000","-14,000,000","-9,000,000",,"-1,000,000"
	SpecialIncomeCharges,,,,,,,,,,,,"-19,000,000",
	OtherNonOperatingIncomeExpenses,"364,000,000","210,000,000","-34,000,000","27,000,000","9,000,000","5,000,000","1,000,000","6,000,000","-1,000,000","1,000,000","2,000,000",,"-2,000,000"
PretaxIncome,"44,689,000,000","47,284,000,000","33,180,000,000","24,812,000,000","25,361,000,000","20,594,000,000","12,518,000,000","6,194,000,000","4,910,000,000","2,754,000,000","494,000,000","1,695,000,000","1,008,000,000"
TaxProvision,"7,351,000,000","7,914,000,000","4,034,000,000","6,327,000,000","3,249,000,000","4,660,000,000","2,301,000,000","2,506,000,000","1,970,000,000","1,254,000,000","441,000,000","695,000,000","402,000,000"
