name,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,06/30/1987,06/30/1986
TotalAssets,"333,779,000,000","301,311,000,000","286,556,000,000","258,848,000,000","241,086,000,000","193,694,000,000","176,223,000,000","172,384,000,000","142,431,000,000","121,271,000,000","108,704,000,000","86,113,000,000","77,888,000,000","72,793,000,000","63,171,000,000","69,597,000,000","70,815,000,000","92,389,000,000","79,571,000,000","67,646,000,000","59,257,000,000","52,150,000,000","37,156,000,000","22,357,000,000","14,387,000,000","10,093,000,000","7,210,000,000","5,363,000,000","3,805,000,000","2,639,900,000","1,644,200,000","1,105,300,000","720,600,000","493,000,000","287,800,000","170,700,000"
	CurrentAssets,"184,406,000,000","181,915,000,000","175,552,000,000","169,662,000,000","159,851,000,000","139,660,000,000","124,712,000,000","114,246,000,000","101,466,000,000","85,084,000,000","74,918,000,000","55,676,000,000","49,280,000,000","43,242,000,000","40,168,000,000","49,010,000,000","48,737,000,000","70,566,000,000","58,973,000,000","48,576,000,000","39,637,000,000","30,308,000,000","20,233,000,000","15,889,000,000","10,373,000,000","7,839,000,000","5,620,000,000","4,312,000,000","2,850,000,000","1,769,700,000","1,028,500,000","719,900,000","468,900,000","345,300,000","213,000,000","148,000,000"
		CashCashEquivalentsAndShortTermInvestments,"130,334,000,000","136,527,000,000","133,819,000,000","133,768,000,000","132,981,000,000","113,240,000,000","96,526,000,000","85,709,000,000","77,022,000,000","63,040,000,000","52,772,000,000","36,788,000,000","31,447,000,000","23,662,000,000","23,411,000,000","34,161,000,000","37,751,000,000","60,592,000,000","49,048,000,000","38,652,000,000","31,600,000,000","23,798,000,000","17,236,000,000","3,839,000,000","3,706,000,000","2,601,000,000","1,962,000,000","1,477,000,000","1,013,000,000","791,400,000","417,200,000","246,300,000","192,400,000","183,200,000","132,500,000","102,700,000"
			CashAndCashEquivalents,"14,224,000,000","13,576,000,000","11,356,000,000","11,946,000,000","7,663,000,000","6,510,000,000","5,595,000,000","8,669,000,000","3,804,000,000","6,938,000,000","9,610,000,000","5,505,000,000","6,076,000,000","10,339,000,000","6,111,000,000","6,714,000,000","4,851,000,000","15,982,000,000","6,438,000,000","3,016,000,000","3,922,000,000","4,846,000,000","4,975,000,000","3,839,000,000","3,706,000,000","2,601,000,000","1,962,000,000","1,477,000,000","1,013,000,000","791,400,000","417,200,000","246,300,000","192,400,000","183,200,000","132,500,000","102,700,000"
				CashFinancial,"7,272,000,000",,,,,,,,,,,,"2,064,000,000","3,274,000,000",,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"6,952,000,000",,,,,,,,,,,,"4,012,000,000","7,065,000,000",,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"116,110,000,000","122,951,000,000","122,463,000,000","121,822,000,000","125,318,000,000","106,730,000,000","90,931,000,000","77,040,000,000","73,218,000,000","56,102,000,000","43,162,000,000","31,283,000,000","25,371,000,000","13,323,000,000","17,300,000,000","27,447,000,000","32,900,000,000","44,610,000,000","42,610,000,000","35,636,000,000","27,678,000,000","18,952,000,000","12,261,000,000",,,,,,,,,,,,,
		Receivables,"38,043,000,000","32,011,000,000","29,524,000,000","26,481,000,000","19,792,000,000","18,277,000,000","17,908,000,000","19,544,000,000","17,486,000,000","15,780,000,000","14,987,000,000","13,014,000,000","11,192,000,000","13,589,000,000","11,338,000,000","9,316,000,000","7,180,000,000","5,890,000,000","5,196,000,000","5,129,000,000","3,671,000,000","3,250,000,000","2,245,000,000","1,460,000,000","980,000,000","639,000,000","581,000,000","475,000,000","338,000,000","823,700,000","243,300,000","181,000,000","111,200,000","93,600,000","55,100,000","34,500,000"
			AccountsReceivable,"38,043,000,000","32,011,000,000","29,524,000,000","26,481,000,000","19,792,000,000","18,277,000,000","17,908,000,000","19,544,000,000","17,486,000,000","15,780,000,000","14,987,000,000","13,014,000,000","11,192,000,000","13,589,000,000","11,338,000,000","9,316,000,000","7,180,000,000","5,890,000,000","5,196,000,000","5,129,000,000","3,671,000,000","3,250,000,000","2,245,000,000","1,460,000,000",,,,,,,,,,,,
				GrossAccountsReceivable,"38,794,000,000","32,799,000,000","29,935,000,000","26,858,000,000","20,197,000,000","18,703,000,000","18,243,000,000","19,845,000,000","17,822,000,000","16,169,000,000","15,320,000,000","13,389,000,000","11,643,000,000","13,742,000,000",,,,,,,,,,,,,,,,,,,,,,
