name,ttm,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,06/30/1987,06/30/1986
TotalRevenue,"192,557,000,000","168,088,000,000","143,015,000,000","125,843,000,000","110,360,000,000","89,950,000,000","85,320,000,000","93,580,000,000","86,833,000,000","77,849,000,000","73,723,000,000","69,943,000,000","62,484,000,000","58,437,000,000","60,420,000,000","51,122,000,000","44,282,000,000","39,788,000,000","36,835,000,000","32,187,000,000","28,365,000,000","25,296,000,000","22,956,000,000","19,747,000,000","14,484,000,000","11,358,000,000","8,671,000,000","5,937,000,000","4,649,000,000","3,753,000,000","2,758,700,000","1,843,400,000","1,183,400,000","803,500,000","590,800,000","345,900,000","197,500,000"
	OperatingRevenue,"192,557,000,000","168,088,000,000","143,015,000,000","125,843,000,000","110,360,000,000","89,950,000,000","85,320,000,000","93,580,000,000","86,833,000,000","77,849,000,000","73,723,000,000","69,943,000,000","62,484,000,000","58,437,000,000","60,420,000,000","51,122,000,000","44,282,000,000","39,788,000,000","36,835,000,000","32,187,000,000","28,365,000,000","25,296,000,000","22,956,000,000","19,747,000,000","14,484,000,000","11,358,000,000","8,671,000,000","5,937,000,000","4,649,000,000","3,753,000,000","2,758,700,000","1,843,400,000","1,183,400,000","803,500,000","590,800,000","345,900,000","197,500,000"
CostOfRevenue,"60,212,000,000","52,232,000,000","46,078,000,000","42,910,000,000","38,353,000,000","34,261,000,000","32,780,000,000","33,038,000,000","26,934,000,000","20,249,000,000","17,530,000,000","15,577,000,000","12,395,000,000","12,155,000,000","11,598,000,000","10,693,000,000","7,650,000,000","6,200,000,000","6,716,000,000","5,686,000,000","5,191,000,000","3,455,000,000","2,254,000,000","1,804,000,000","173,000,000","528,000,000","708,000,000","608,000,000","526,000,000","482,000,000","354,100,000","286,800,000","206,400,000","180,000,000","132,000,000","66,300,000","35,100,000"
GrossProfit,"132,345,000,000","115,856,000,000","96,937,000,000","82,933,000,000","72,007,000,000","55,689,000,000","52,540,000,000","60,542,000,000","59,899,000,000","57,600,000,000","56,193,000,000","54,366,000,000","50,089,000,000","46,282,000,000","48,822,000,000","40,429,000,000","36,632,000,000","33,588,000,000","30,119,000,000","26,501,000,000","23,174,000,000","21,841,000,000","20,702,000,000","17,943,000,000","14,311,000,000","10,830,000,000","7,963,000,000","5,329,000,000","4,123,000,000","3,271,000,000","2,404,600,000","1,556,600,000","977,000,000","623,500,000","458,800,000","279,600,000","162,400,000"
OperatingExpense,"50,401,000,000","45,940,000,000","43,978,000,000","39,974,000,000","36,949,000,000","33,057,000,000","31,248,000,000","32,370,000,000","32,013,000,000","30,836,000,000","28,237,000,000","27,205,000,000","25,932,000,000","25,919,000,000","26,330,000,000","21,905,000,000","20,160,000,000","19,027,000,000","21,085,000,000","13,284,000,000","11,264,000,000","10,121,000,000","9,673,000,000","7,900,000,000","7,371,000,000","5,700,000,000","4,885,000,000","3,291,000,000","2,397,000,000","1,945,000,000","1,408,600,000","906,800,000","583,800,000","381,300,000","271,400,000","152,700,000","101,500,000"
	SellingGeneralAndAdministration,"27,051,000,000","25,224,000,000","24,709,000,000","23,098,000,000","22,223,000,000","20,020,000,000","19,260,000,000","20,324,000,000","20,632,000,000","20,425,000,000","18,426,000,000","18,162,000,000","17,218,000,000","16,909,000,000","18,166,000,000","14,784,000,000","13,576,000,000","12,843,000,000","13,306,000,000","8,625,000,000","6,957,000,000","5,742,000,000","5,150,000,000","3,920,000,000","3,845,000,000","3,218,000,000","2,973,000,000","2,162,000,000","1,550,000,000","1,794,000,000","1,296,300,000","831,000,000","537,500,000","357,100,000","255,400,000","145,100,000","95,700,000"
		GeneralAndAdministrativeExpense,"5,673,000,000","5,107,000,000","5,111,000,000","4,885,000,000","4,754,000,000","4,481,000,000","4,563,000,000","4,611,000,000","4,821,000,000","5,149,000,000","4,569,000,000","4,222,000,000","4,004,000,000","4,030,000,000","5,127,000,000",,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,"59,000,000","330,000,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"5,673,000,000","5,107,000,000","5,111,000,000","4,885,000,000","4,754,000,000","4,481,000,000","4,563,000,000","4,611,000,000","4,821,000,000","5,149,000,000","4,569,000,000","4,222,000,000","4,004,000,000","3,700,000,000","5,127,000,000",,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"21,378,000,000","20,117,000,000","19,598,000,000","18,213,000,000","17,469,000,000","15,539,000,000","14,697,000,000","15,713,000,000","15,811,000,000","15,276,000,000","13,857,000,000","13,940,000,000","13,214,000,000","12,879,000,000","13,039,000,000",,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"23,350,000,000","20,716,000,000","19,269,000,000","16,876,000,000","14,726,000,000","13,037,000,000","11,988,000,000","12,046,000,000","11,381,000,000","10,411,000,000","9,811,000,000","9,043,000,000","8,714,000,000","9,010,000,000","8,164,000,000","7,121,000,000","6,584,000,000","6,184,000,000","7,779,000,000","4,659,000,000","4,307,000,000","4,379,000,000","3,775,000,000","2,970,000,000","2,502,000,000","1,925,000,000","1,432,000,000","860,000,000","610,000,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,"748,000,000","1,010,000,000","1,024,000,000","557,000,000","480,000,000","269,000,000","237,000,000","151,000,000","112,300,000","75,800,000","46,300,000","24,200,000","16,000,000","7,600,000","5,800,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,"748,000,000","1,010,000,000","1,024,000,000","557,000,000","480,000,000","269,000,000","237,000,000","151,000,000","112,300,000","75,800,000","46,300,000","24,200,000","16,000,000","7,600,000","5,800,000"
OperatingIncome,"81,944,000,000","69,916,000,000","52,959,000,000","42,959,000,000","35,058,000,000","22,632,000,000","21,292,000,000","28,172,000,000","27,886,000,000","26,764,000,000","27,956,000,000","27,161,000,000","24,157,000,000","20,363,000,000","22,492,000,000","18,524,000,000","16,472,000,000","14,561,000,000","9,034,000,000","13,217,000,000","11,910,000,000","11,720,000,000","11,029,000,000","10,043,000,000","6,940,000,000","5,130,000,000","3,078,000,000","2,038,000,000","1,726,000,000","1,326,000,000","996,000,000","649,800,000","393,200,000","242,200,000","187,400,000","126,900,000","60,900,000"
NetNonOperatingInterestIncomeExpense,"-81,000,000","-215,000,000","89,000,000","76,000,000","-2,733,000,000","-2,222,000,000","-1,243,000,000","-781,000,000","-597,000,000","-429,000,000","-380,000,000","605,000,000","-151,000,000","706,000,000","888,000,000",,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"2,039,000,000","2,131,000,000","2,680,000,000","2,762,000,000",,,,,,,,"900,000,000","843,000,000","706,000,000","888,000,000",,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"2,120,000,000","2,346,000,000","2,591,000,000","2,686,000,000","2,733,000,000","2,222,000,000","1,243,000,000","781,000,000","597,000,000","429,000,000","380,000,000","295,000,000","151,000,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"771,000,000","1,401,000,000","-12,000,000","653,000,000","4,149,000,000","2,739,000,000","-298,000,000","-8,884,000,000","531,000,000","717,000,000","-5,309,000,000","305,000,000","1,007,000,000","-1,248,000,000","434,000,000","258,000,000","1,790,000,000","2,067,000,000","3,162,000,000","-188,000,000","-2,159,000,000","-2,003,000,000","3,246,000,000","1,848,000,000","177,000,000","184,000,000","301,000,000","129,000,000","-4,000,000","75,000,000","45,300,000","20,800,000","17,300,000","8,600,000","-3,700,000","-5,500,000","5,100,000"
	GainOnSaleOfSecurity,"758,000,000","1,303,000,000","28,000,000","710,000,000","4,208,000,000","3,296,000,000","1,007,000,000","1,394,000,000","827,000,000","523,000,000","883,000,000","336,000,000","1,052,000,000","-1,192,000,000","572,000,000",,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,"-34,000,000",,,"-25,000,000","-68,000,000","-92,000,000","-159,000,000",,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,0,0,"-306,000,000","-1,110,000,000","-10,011,000,000","-127,000,000",0,"-6,193,000,000","-31,000,000","-59,000,000","-56,000,000","-138,000,000","292,000,000","1,790,000,000","2,067,000,000","3,187,000,000","-120,000,000","-2,067,000,000","-1,844,000,000","3,246,000,000","1,848,000,000","177,000,000","184,000,000","301,000,000","129,000,000","-4,000,000","75,000,000","45,300,000","20,800,000","17,300,000","8,600,000","-3,700,000","-5,500,000","5,100,000"
		RestructuringAndMergernAcquisition,,,,0,0,"306,000,000","1,110,000,000","10,011,000,000","127,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,0,0,"6,193,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,"59,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"13,000,000","98,000,000","-40,000,000","-57,000,000","-59,000,000","-251,000,000","-195,000,000","-267,000,000","-169,000,000","194,000,000","1,000,000",,"14,000,000",,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"82,634,000,000","71,102,000,000","53,036,000,000","43,688,000,000","36,474,000,000","23,149,000,000","19,751,000,000","18,507,000,000","27,820,000,000","27,052,000,000","22,267,000,000","28,071,000,000","25,013,000,000","19,821,000,000","23,814,000,000","20,101,000,000","18,262,000,000","16,628,000,000","12,196,000,000","14,726,000,000","11,513,000,000","11,525,000,000","14,275,000,000","11,891,000,000","7,117,000,000","5,314,000,000","3,379,000,000","2,167,000,000","1,722,000,000","1,401,000,000","1,041,300,000","670,600,000","410,600,000","250,800,000","183,700,000","121,400,000","66,000,000"
TaxProvision,"10,178,000,000","9,831,000,000","8,755,000,000","4,448,000,000","19,903,000,000","1,945,000,000","2,953,000,000","6,314,000,000","5,746,000,000","5,189,000,000","5,289,000,000","4,921,000,000","6,253,000,000","5,252,000,000","6,133,000,000","6,036,000,000","5,663,000,000","4,374,000,000","4,028,000,000","4,733,000,000","3,684,000,000","3,804,000,000","4,854,000,000","4,106,000,000","2,627,000,000","1,860,000,000","1,184,000,000","714,000,000","576,000,000","448,000,000","333,200,000","207,900,000","131,400,000","80,300,000","59,800,000","49,500,000","26,700,000"
NetIncomeCommonStockholders,"72,456,000,000","61,271,000,000","44,281,000,000","39,240,000,000","16,571,000,000","21,204,000,000","16,798,000,000","12,193,000,000","22,074,000,000","21,863,000,000","16,978,000,000","23,150,000,000","18,760,000,000","14,569,000,000","17,681,000,000","14,065,000,000","12,599,000,000","12,254,000,000","8,168,000,000","9,993,000,000","7,829,000,000","7,346,000,000","9,407,000,000","7,757,000,000","4,462,000,000","3,439,000,000","2,195,000,000","1,453,000,000","1,146,000,000","953,000,000","708,100,000","462,700,000","279,200,000","170,500,000","123,900,000","71,900,000","39,300,000"
	NetIncome,"72,456,000,000","61,271,000,000","44,281,000,000","39,240,000,000","16,571,000,000","21,204,000,000","16,798,000,000","12,193,000,000","22,074,000,000","21,863,000,000","16,978,000,000","23,150,000,000","18,760,000,000","14,569,000,000","17,681,000,000","14,065,000,000","12,599,000,000","12,254,000,000","8,168,000,000","9,993,000,000","7,829,000,000","7,346,000,000","9,421,000,000","7,785,000,000","4,490,000,000","3,454,000,000","2,195,000,000","1,453,000,000","1,146,000,000","953,000,000","708,100,000","462,700,000","279,200,000","170,500,000","123,900,000","71,900,000","39,300,000"
		NetIncomeIncludingNoncontrollingInterests,"72,456,000,000","61,271,000,000","44,281,000,000","39,240,000,000","16,571,000,000","21,204,000,000","16,798,000,000","12,193,000,000","22,074,000,000","21,863,000,000","16,978,000,000","23,150,000,000","18,760,000,000","14,569,000,000","17,681,000,000","14,065,000,000","12,599,000,000","12,254,000,000","8,168,000,000","9,993,000,000","7,829,000,000","7,346,000,000","9,421,000,000","7,785,000,000","4,490,000,000","3,454,000,000","2,195,000,000","1,453,000,000","1,146,000,000","953,000,000","708,100,000","462,700,000","279,200,000","170,500,000","123,900,000","71,900,000","39,300,000"
