name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalRevenue,"30,402,329,000","29,697,844,000","24,996,056,000","20,156,447,000","15,794,341,000","11,692,713,000","8,830,669,000","6,779,511,000","5,504,656,000","4,374,562,000","3,609,282,000","3,204,577,000","2,162,625,000","1,670,269,000","1,364,661,000","1,205,340,000","996,660,000","682,213,000","506,228,000","272,243,000","152,806,000","75,912,000","35,894,000"
	OperatingRevenue,"30,402,329,000","29,697,844,000","24,996,056,000","20,156,447,000","15,794,341,000","11,692,713,000","8,830,669,000","6,779,511,000","5,504,656,000","4,374,562,000","3,609,282,000","3,204,577,000","2,162,625,000","1,670,269,000","1,364,661,000","1,205,340,000","996,660,000","682,213,000","506,228,000","272,243,000","152,806,000","75,912,000","35,894,000"
CostOfRevenue,"17,748,877,000","17,332,683,000","15,276,319,000","12,440,213,000","9,967,538,000","7,659,666,000","6,029,901,000","4,591,476,000","3,752,760,000","3,083,256,000","2,625,866,000","2,039,901,000","1,357,355,000","1,079,271,000","910,234,000","786,168,000","626,985,000","464,550,000","276,458,000","148,360,000","78,136,000","49,907,000","24,861,000"
GrossProfit,"12,653,452,000","12,365,161,000","9,719,737,000","7,716,234,000","5,826,803,000","4,033,047,000","2,800,768,000","2,188,035,000","1,751,896,000","1,291,306,000","983,416,000","1,164,676,000","805,270,000","590,998,000","454,427,000","419,172,000","369,675,000","217,663,000","229,770,000","123,883,000","74,670,000","26,005,000","11,033,000"
OperatingExpense,"6,447,173,000","6,170,652,000","5,134,448,000","5,111,980,000","4,221,577,000","3,194,368,000","2,420,975,000","1,882,209,000","1,349,248,000","1,062,959,000","933,424,000","788,608,000","527,723,000","399,059,000","332,921,000","328,011,000","305,261,000","214,674,000","210,416,000","119,411,000","86,342,000","62,561,000","69,501,000"
	SellingGeneralAndAdministration,"4,040,965,000","3,896,767,000","3,304,848,000","3,566,831,000","2,999,763,000","2,141,590,000","1,568,877,000","1,231,421,000","876,927,000","684,190,000","604,416,000","529,575,000","364,394,000","289,077,000","249,375,000","270,812,000","261,679,000","185,719,000","187,510,000","101,527,000","71,717,000","44,827,000","17,237,000"
		GeneralAndAdministrativeExpense,"1,452,353,000","1,351,621,000","1,076,486,000","914,369,000","630,294,000","863,568,000","577,799,000","407,329,000","269,741,000","180,301,000","119,687,000","126,937,000","70,555,000","51,333,000",,,,,,,,,"-8,490,000"
			OtherGandA,"1,452,353,000","1,351,621,000","1,076,486,000","914,369,000","630,294,000","863,568,000","577,799,000","407,329,000","269,741,000","180,301,000","119,687,000","126,937,000","70,555,000","51,333,000",,,,,,,,,"-8,490,000"
		SellingAndMarketingExpense,"2,588,612,000","2,545,146,000","2,228,362,000","2,652,462,000","2,369,469,000","1,278,022,000","991,078,000","824,092,000","607,186,000","503,889,000","484,729,000","402,638,000","293,839,000","237,744,000",,,,,,,,,"25,727,000"
	ResearchAndDevelopment,"2,406,208,000","2,273,885,000","1,829,600,000","1,545,149,000","1,221,814,000","1,052,778,000","852,098,000","650,788,000","472,321,000","378,769,000","329,008,000","259,033,000","163,329,000","114,542,000","89,873,000","71,395,000","48,379,000","30,942,000","22,906,000","17,884,000","14,625,000","17,734,000","16,823,000"
