name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
TotalAssets,"3,537,238,000","2,609,459,000","2,393,317,000","1,152,731,000","1,173,045,000"
	CurrentAssets,"3,181,563,000","2,357,541,000","2,067,234,000","889,352,000","886,959,000"
		CashCashEquivalentsAndShortTermInvestments,"2,480,118,000","1,760,306,000","1,713,345,000","627,813,000","711,628,000"
			CashAndCashEquivalents,"1,419,630,000","669,230,000","649,666,000","122,509,000","71,468,000"
				CashFinancial,"589,156,000","352,061,000","323,194,000","48,238,000","58,997,000"
				CashEquivalents,"830,474,000","317,169,000","326,472,000","74,271,000","12,471,000"
			OtherShortTermInvestments,"1,060,488,000","1,091,076,000","1,063,679,000","505,304,000","640,160,000"
		Receivables,"653,355,000","563,733,000","316,367,000","221,932,000","136,597,000"
			AccountsReceivable,"653,355,000","563,733,000","316,367,000","221,932,000","136,597,000"
				GrossAccountsReceivable,"661,637,000","572,544,000","319,218,000","225,029,000","139,005,000"
				AllowanceForDoubtfulAccountsReceivable,"-8,282,000","-8,811,000","-2,851,000","-3,097,000","-2,408,000"
		PrepaidAssets,"48,090,000","33,502,000","37,522,000","39,607,000","38,734,000"
	TotalNonCurrentAssets,"355,675,000","251,918,000","326,083,000","263,379,000","286,086,000"
		NetPPE,"281,313,000","225,291,000","280,243,000","226,715,000","239,512,000"
			GrossPPE,"389,472,000","309,061,000","353,513,000","277,964,000","272,539,000"
				Properties,0,0,0,0,0
				BuildingsAndImprovements,"227,912,000","155,916,000","188,251,000","145,203,000","152,257,000"
				MachineryFurnitureEquipment,"57,976,000","51,746,000","45,316,000","38,135,000","24,786,000"
				OtherProperties,"53,401,000","155,916,000","188,251,000","145,203,000","152,257,000"
				ConstructionInProgress,"2,370,000","157,000","10,139,000","783,000","42,063,000"
				Leases,"101,214,000","101,242,000","109,807,000","93,843,000","53,433,000"
			AccumulatedDepreciation,"-108,159,000","-83,770,000","-73,270,000","-51,249,000","-33,027,000"
		GoodwillAndOtherIntangibleAssets,"61,115,000","13,562,000","14,576,000","14,071,000","9,037,000"
			Goodwill,"40,208,000","6,905,000","6,905,000","6,905,000","6,905,000"
			OtherIntangibleAssets,"20,907,000","6,657,000","7,671,000","7,166,000","2,132,000"
		OtherNonCurrentAssets,"13,247,000","13,065,000","31,264,000","22,593,000","37,537,000"
TotalLiabilitiesNetMinorityInterest,"498,495,000","367,088,000","369,612,000","566,977,000","1,719,509,000"
	CurrentLiabilities,"259,806,000","204,831,000","176,157,000","398,443,000","79,802,000"
		PayablesAndAccruedExpenses,"180,959,000","127,983,000","103,056,000","398,443,000","54,956,000"
			Payables,"17,675,000","49,491,000","34,334,000","22,169,000","15,428,000"
				AccountsPayable,"17,675,000","49,491,000","34,334,000","22,169,000","15,428,000"
			CurrentAccruedExpenses,"163,284,000","78,492,000","68,722,000","376,274,000","39,528,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"37,154,000","33,215,000","26,574,000",,"9,045,000"
		CurrentDebtAndCapitalLeaseObligation,"41,693,000","43,633,000","46,527,000",,"15,801,000"
			CurrentCapitalLeaseObligation,"41,693,000","43,633,000","46,527,000",,"15,801,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"238,689,000","162,257,000","193,455,000","168,534,000","1,639,707,000"
		LongTermDebtAndCapitalLeaseObligation,"209,181,000","139,321,000","173,392,000","151,395,000","162,273,000"
			LongTermCapitalLeaseObligation,"209,181,000","139,321,000","173,392,000","151,395,000","162,273,000"
		PreferredSecuritiesOutsideStockEquity,,,0,0,"1,465,399,000"
		OtherNonCurrentLiabilities,"29,508,000","22,936,000","20,063,000","17,139,000","12,035,000"
TotalEquityGrossMinorityInterest,"3,038,743,000","2,242,371,000","2,023,705,000","585,754,000","-546,464,000"
	StockholdersEquity,"3,038,743,000","2,242,371,000","2,023,705,000","585,754,000","-546,464,000"
		CapitalStock,"7,000","6,000","6,000","5,000","1,000"
			CommonStock,"7,000","6,000","6,000","5,000","1,000"
		AdditionalPaidInCapital,"5,059,528,000","4,574,934,000","4,229,778,000","2,318,051,000","236,682,000"
		RetainedEarnings,"-2,018,611,000","-2,335,049,000","-2,206,726,000","-1,730,881,000","-782,381,000"
		GainsLossesNotAffectingRetainedEarnings,"-2,181,000","2,480,000","647,000","-1,421,000","-766,000"
TotalCapitalization,"3,038,743,000","2,242,371,000","2,023,705,000","585,754,000","-546,464,000"
CommonStockEquity,"3,038,743,000","2,242,371,000","2,023,705,000","585,754,000","-546,464,000"
CapitalLeaseObligations,"250,874,000","182,954,000","219,919,000","151,395,000","178,074,000"
NetTangibleAssets,"2,977,628,000","2,228,809,000","2,009,129,000","571,683,000","-555,501,000"
WorkingCapital,"2,921,757,000","2,152,710,000","1,891,077,000","490,909,000","807,157,000"
InvestedCapital,"3,038,743,000","2,242,371,000","2,023,705,000","585,754,000","-546,464,000"
TangibleBookValue,"2,977,628,000","2,228,809,000","2,009,129,000","571,683,000","-555,501,000"
TotalDebt,"250,874,000","182,954,000","219,919,000","151,395,000","178,074,000"
ShareIssued,"656,872,000","626,372,000","569,904,000","542,705,000","529,344,043"
OrdinarySharesNumber,"656,872,000","626,372,000","569,904,000","542,705,000","529,344,043"
